Rank,Code,Company,Price,1 Day,1 Month,1 Year,Sector,Mkt Cap,MktCapB,HeadOffice,HeadOfficeCity,HeadOfficeState
168,4DX,4DMEDICAL Ltd,3.65,-0.0875,-0.375,12.2727,Health Care,$2.17B,2.17,"4DMEDICAL Ltd, Melbourne",Melbourne,VIC
169,PXA,Pexa Group Ltd,12.14,0.0058,-0.0373,-0.0357,Real Estate,$2.14B,2.14,"Pexa Group Ltd, Melbourne",Melbourne,VIC
170,LLC,Lendlease Group,3.04,0.0133,-0.0703,-0.4483,Real Estate,$2.1B,2.1,"Lendlease Group, Sydney",Sydney,NSW
171,ALK,Alkane Resources Ltd,1.53,0.0408,-0.1547,1.1399,Materials,$2.09B,2.09,"Alkane Resources Ltd, Perth",Perth,WA
172,FLT,Flight Centre Travel Group Ltd,9.98,-0.0187,-0.1557,-0.2496,Consumer Discretionary,$2.06B,2.06,"Flight Centre Travel Group Ltd, Brisbane",Brisbane,QLD
173,NXG,Nexgen Energy (Canada) Ltd,15.52,-0.0032,-0.1167,0.8587,Energy,$2.02B,2.02,"Nexgen Energy (Canada) Ltd, Vancouver",Vancouver,Outside Australia
174,IMD,IMDEX Ltd,3.92,0.0129,-0.0249,0.3901,Materials,$2.01B,2.01,"IMDEX Ltd, Perth",Perth,WA
175,EVT,EVT Ltd,12.21,0.0348,-0.1002,-0.1972,Communication Services,$1.98B,1.98,"EVT Ltd, Sydney",Sydney,NSW
176,CBO,Cobram Estate Olives Ltd,4.11,0.0098,0.1578,1.2216,Consumer Staples,$1.97B,1.97,"Cobram Estate Olives Ltd, Melbourne",Melbourne,VIC
177,PRN,Perenti Ltd,2.07,0.0147,-0.0096,0.4629,Materials,$1.94B,1.94,"Perenti Ltd, Perth",Perth,WA
178,MAQ,Macquarie Technology Group Ltd,74.52,-0.0037,0.1014,0.2041,Information Technology,$1.92B,1.92,"Macquarie Technology Group Ltd, Sydney",Sydney,NSW
179,ASK,Abacus Storage King,1.46,0.0246,0.0355,-0.0395,Real Estate,$1.92B,1.92,"Abacus Storage King, Sydney",Sydney,NSW
180,SRG,SRG Global Ltd,3.05,0,0.0339,1.0962,Industrials,$1.91B,1.91,"SRG Global Ltd, Perth",Perth,WA
181,FRW,Freightways Group Ltd,10.6,0.0076,0.0589,0.1053,Industrials,$1.9B,1.9,"Freightways Group Ltd, Auckland",Auckland,Outside Australia
182,PPT,Perpetual Ltd,16.29,0.0213,-0.0109,-0.0864,Financials,$1.88B,1.88,"Perpetual Ltd, Sydney",Sydney,NSW
183,SRL,Sunrise Energy Metals Ltd,12.19,-0.0666,-0.0469,28.0238,Materials,$1.87B,1.87,"Sunrise Energy Metals Ltd, Melbourne",Melbourne,VIC
184,CIP,Centuria Industrial REIT,2.98,0.0171,0.0068,-0.0293,Real Estate,$1.86B,1.86,"Centuria Industrial REIT, Sydney",Sydney,NSW
185,VGN,Virgin Australia Holdings Ltd,2.36,0.0306,-0.0709,-0.1862,Industrials,$1.85B,1.85,"Virgin Australia Holdings Ltd, Brisbane",Brisbane,QLD
186,PMV,Premier Investments Ltd,11.56,0.0239,-0.094,-0.4588,Consumer Discretionary,$1.85B,1.85,"Premier Investments Ltd, Melbourne",Melbourne,VIC
187,MAH,Macmahon Holdings Ltd,0.85,-0.023,0,1.931,Materials,$1.83B,1.83,"Macmahon Holdings Ltd, Perth",Perth,WA
188,WLE,Wam Leaders Ltd,1.325,0,-0.0038,0.06,Financials,$1.83B,1.83,"Wam Leaders Ltd, Sydney",Sydney,NSW
189,WAM,WAM Capital Ltd,1.615,0,-0.0692,0.0386,Financials,$1.83B,1.83,"WAM Capital Ltd, Sydney",Sydney,NSW
190,SLC,Superloop Ltd,3.55,0.0114,0.0441,0.4032,Communication Services,$1.83B,1.83,"Superloop Ltd, Sydney",Sydney,NSW
191,REG,Regis Healthcare Ltd,5.93,-0.0117,0.0068,-0.2299,Health Care,$1.79B,1.79,"Regis Healthcare Ltd, Sydney",Sydney,NSW
192,MI6,Minerals 260 Ltd,0.79,-0.0307,0.0194,4.4483,Materials,$1.79B,1.79,"Minerals 260 Ltd, Perth",Perth,WA
193,DVP,Develop Global Ltd,5.39,-0.0253,-0.0306,0.4647,Materials,$1.78B,1.78,"Develop Global Ltd, Perth",Perth,WA
194,GYG,Guzman Y GOMEZ Ltd,17.48,0.0157,-0.1398,-0.4602,Consumer Discretionary,$1.77B,1.77,"Guzman Y GOMEZ Ltd, Sydney",Sydney,NSW
195,GNP,Genusplus Group Ltd,9.74,0,0.2145,2.1318,Industrials,$1.77B,1.77,"Genusplus Group Ltd, Perth",Perth,WA
196,MGH,Maas Group Holdings Ltd,4.83,-0.0143,0.0126,0.1078,Industrials,$1.75B,1.75,"Maas Group Holdings Ltd, Dubbo",Dubbo,NSW
197,RYM,Ryman Healthcare Ltd,1.71,-0.0058,0.0556,-0.25,Health Care,$1.74B,1.74,"Ryman Healthcare Ltd, Christchurch",Christchurch,Outside Australia
198,ZIM,Zimplats Holdings Ltd,15.71,0.0195,-0.1603,0.4282,Materials,$1.69B,1.69,"Zimplats Holdings Ltd, Harare",Harare,Outside Australia
199,GLF,Gemlife Communities Group,4.32,-0.0204,-0.0421,0.0385,Real Estate,$1.64B,1.64,"Gemlife Communities Group, Gold Coast",Gold Coast,QLD
200,BRE,Brazilian Rare EARTHS Ltd,5.84,-0.0051,0.3183,2.1064,Materials,$1.64B,1.64,"Brazilian Rare EARTHS Ltd, Sydney",Sydney,NSW
